STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,age,Age class,indic_he,Health indicator,unit,Unit of measure,sex,Sex,icd10,International Statistical Classification of Diseases and Related Health Problems (ICD-10),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,FR,France,2015,,16344.4,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,FR,France,2016,,18783.1,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,FR,France,2017,,18608.9,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,FR,France,2018,,18553.0,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,FR,France,2019,,18298.8,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,FR,France,2020,,16080.5,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,FR,France,2021,,16515.0,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,IT,Italy,2014,,12003.5,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,IT,Italy,2015,,11856.2,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,IT,Italy,2016,,11670.8,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,IT,Italy,2017,,11597.1,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,IT,Italy,2018,,9161.4,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,PT,Portugal,2014,,8453.0,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,PT,Portugal,2015,,8492.5,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,PT,Portugal,2018,,8308.5,,,,,
dataflow,ESTAT:HLTH_CO_DISCH2(1.0),"Hospital discharges by diagnosis, in-patients, per 100 000 inhabitants - historical data (1995-2021)",A,Annual,TOTAL,Total,INPAT,in-patients (total number),P_HTHAB,Per hundred thousand inhabitants,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,PT,Portugal,2019,,8673.1,,,,,
