STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,age,Age class,indic_he,Health indicator,unit,Unit of measure,sex,Sex,icd10,International Statistical Classification of Diseases and Related Health Problems (ICD-10),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,FR,France,2019,,8.8,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,FR,France,2020,,9.1,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,FR,France,2021,,8.8,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,IT,Italy,2014,,7.8,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,IT,Italy,2015,,7.8,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,IT,Italy,2016,,7.8,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,IT,Italy,2017,,7.8,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,IT,Italy,2018,,7.9,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,IT,Italy,2019,,8.0,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,IT,Italy,2020,,8.3,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,PT,Portugal,2014,,7.5,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,PT,Portugal,2015,,7.6,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,PT,Portugal,2018,,7.9,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,PT,Portugal,2019,,8.0,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,PT,Portugal,2020,,8.3,,,,,
dataflow,ESTAT:HLTH_CO_INPST(1.0),In-patient average length of stay (days)- historical data (1995-2021),A,Annual,TOTAL,Total,ALOS,In-patient average length of stay (in days),NR,Number,T,Total,A-T_Z,All causes of diseases (A00-Z99) excluding V00-Y98,PT,Portugal,2021,,8.1,,,,,
