source_dataset,country_code,year,diagnosis_code,observation_available
hospital_discharges,DE,2017,A-T_Z,True
hospital_discharges,DE,2017,C00-D48,True
hospital_discharges,DE,2017,F,True
hospital_discharges,DE,2017,I,True
hospital_discharges,DE,2017,J,True
hospital_discharges,DE,2018,A-T_Z,True
hospital_discharges,DE,2018,C00-D48,True
hospital_discharges,DE,2018,F,True
hospital_discharges,DE,2018,I,True
hospital_discharges,DE,2018,J,True
hospital_discharges,DE,2019,A-T_Z,True
hospital_discharges,DE,2019,C00-D48,True
hospital_discharges,DE,2019,F,True
hospital_discharges,DE,2019,I,True
hospital_discharges,DE,2019,J,True
average_length_stay,ES,2014,A-T_Z,False
average_length_stay,ES,2014,C00-D48,True
average_length_stay,ES,2014,F,True
average_length_stay,ES,2014,I,True
average_length_stay,ES,2014,J,True
average_length_stay,ES,2015,A-T_Z,True
average_length_stay,ES,2015,C00-D48,True
average_length_stay,ES,2015,F,True
average_length_stay,ES,2015,I,True
average_length_stay,ES,2015,J,True
average_length_stay,ES,2016,A-T_Z,True
average_length_stay,ES,2016,C00-D48,True
average_length_stay,ES,2016,F,True
average_length_stay,ES,2016,I,True
average_length_stay,ES,2016,J,True
average_length_stay,ES,2017,A-T_Z,True
average_length_stay,ES,2017,C00-D48,True
average_length_stay,ES,2017,F,True
average_length_stay,ES,2017,I,True
average_length_stay,ES,2017,J,True
average_length_stay,ES,2018,A-T_Z,True
average_length_stay,ES,2018,C00-D48,True
average_length_stay,ES,2018,F,True
average_length_stay,ES,2018,I,True
average_length_stay,ES,2018,J,True
average_length_stay,ES,2019,A-T_Z,True
average_length_stay,ES,2019,C00-D48,True
average_length_stay,ES,2019,F,True
average_length_stay,ES,2019,I,True
average_length_stay,ES,2019,J,True
average_length_stay,PT,2014,A-T_Z,True
average_length_stay,PT,2014,C00-D48,True
average_length_stay,PT,2014,F,True
average_length_stay,PT,2014,I,True
average_length_stay,PT,2014,J,True
average_length_stay,PT,2015,A-T_Z,True
average_length_stay,PT,2015,C00-D48,True
average_length_stay,PT,2015,F,True
average_length_stay,PT,2015,I,True
average_length_stay,PT,2015,J,True
average_length_stay,PT,2016,A-T_Z,False
average_length_stay,PT,2016,C00-D48,False
average_length_stay,PT,2016,F,False
average_length_stay,PT,2016,I,False
average_length_stay,PT,2016,J,False
average_length_stay,PT,2017,A-T_Z,False
average_length_stay,PT,2017,C00-D48,False
average_length_stay,PT,2017,F,False
average_length_stay,PT,2017,I,False
average_length_stay,PT,2017,J,False
average_length_stay,PT,2018,A-T_Z,True
average_length_stay,PT,2018,C00-D48,True
average_length_stay,PT,2018,F,True
average_length_stay,PT,2018,I,True
average_length_stay,PT,2018,J,True
average_length_stay,PT,2019,A-T_Z,True
average_length_stay,PT,2019,C00-D48,True
average_length_stay,PT,2019,F,True
average_length_stay,PT,2019,I,True
average_length_stay,PT,2019,J,True
average_length_stay,FR,2014,A-T_Z,True
average_length_stay,FR,2014,C00-D48,True
